City,Cloudiness,Country,Date,Humidity,Lat,Lan,Max_Temp,Wind_Speed
juneau,90,US,1558328182,73,42.65,-73.75,73.4,13.87
busselton,100,ZA,1558328198,93,-34.53,20.04,59,5.82
cockburn town,44,BR,1558328198,94,-30.17,-50.22,65.82,3.83
barrow,,,,,,,,
bluff,,,,,,,,
tikhvin,0,AU,1558328143,43,-33.21,138.6,66.18,10.65
hilo,99,BR,1558328200,91,-33.52,-53.37,61.68,7.4
avarua,94,CA,1558328200,72,50.56,-96.99,50,5.99
dikson,99,AU,1558328201,69,-35.71,150.18,71.01,5.01
canto do buriti,0,MN,1558328201,26,46.68,113.28,55.56,19.1
ballina,90,FR,1558328201,100,45.6,-0.6,52,4.7
san jose,100,CK,1558328202,88,-21.21,-159.78,71.6,4.7
ozernovskiy,75,US,1558328202,88,30.24,-93.38,77,4.7
college,2,GL,1558328100,71,69.22,-51.1,32,4.7
jamestown,75,ZA,1558327958,93,-33.93,18.42,60.01,16.11
waddan,42,PH,1558328203,54,17.54,120.52,93.18,10.25
kedougou,84,ID,1558328014,62,-10.16,123.6,88.5,10.87
skalistyy,93,AR,1558328204,54,-38.31,-60.23,49.08,3.2
yola,99,NU,1558328204,78,-19.06,-169.92,78.8,10.29
port lincoln,99,PL,1558328204,99,50.47,20.72,63,7
ilulissat,75,CA,1558328205,88,69.44,-133.03,35.6,12.75
zarichne,7,NZ,1558328205,90,-42.52,172.83,39.36,4.29
bredasdorp,1,NP,1558328107,25,27.87,83.55,89.58,7.29
okhotsk,1,US,1558328206,93,43.41,-124.22,55,4.7
port blair,37,GL,1558328206,74,60.14,-45.24,36.84,5.82
miquelon,0,ZA,1558327958,87,-33.02,27.91,60.8,4.7
thompson,90,FR,1558328207,93,46.42,3.91,53.6,5.82
tabas,0,CL,1558328208,100,-42.48,-73.76,39.2,9.17
norman wells,,,,,,,,
port alfred,40,CA,1558328218,45,58.81,-122.69,62.6,2.24
guadalupe y calvo,70,PT,1558328218,91,38.52,-28.7,63.3,15.59
lebu,20,JM,1558328218,65,17.88,-76.41,82.4,4.7
lavrentiya,95,AU,1558328219,67,-42.78,147.06,57.99,10.29
victoria,40,AU,1558328219,50,-23.53,148.16,77,8.05
tambacounda,1,US,1558328219,94,31.87,-81.61,77,5.03
camacari,20,FR,1558328220,100,43.56,6.97,54,3.36
loudi,60,RU,1558328223,70,69.7,170.27,29.46,6.58
surgut,39,GL,1558328224,89,72.79,-56.15,26.4,15.01
illoqqortoormiut,90,US,1558328224,87,37.66,-121.87,55.4,3.36
tazovskiy,100,EE,1558328225,62,59.1,26.19,68.34,5.86
camacha,99,ZA,1558328225,92,-33.59,26.89,63,5.5
lagoa,1,US,1558328226,83,39.31,-74.98,75.2,3.36
codrington,61,RU,1558328226,31,51.01,90.2,62.58,9.51
yeppoon,,,,,,,,
mahadday weyne,24,KI,1558328227,70,3.07,172.79,84.36,6.6
vuktyl,23,BR,1558328227,70,-14.4,-56.44,67.44,2.39
waingapu,,,,,,,,
port hardy,75,RU,1558328228,64,64.42,-173.23,33.8,11.18
north bend,54,RU,1558328228,52,62.87,51.9,41.7,9.55
tiksi,20,TT,1558328229,88,10.24,-61.45,79,4.7
kibaha,4,RU,1558328229,71,54.43,31.9,64.92,9.69
bolungarvik,20,MX,1558328230,83,16.86,-99.88,78.8,5.82
bengkulu,31,RU,1558328230,44,65.44,52.15,40.44,10.22
khatanga,0,FI,1558328231,66,64.22,27.73,53.6,11.41
kilindoni,75,ET,1558328231,87,8.96,38.73,57.2,3.36
bambous virieux,75,IR,1558328231,37,30.59,50.24,86,6.93
kamenskoye,99,RU,1558328232,58,54,90.25,58.26,13.4
berlevag,90,US,1558328232,65,38.68,-104.7,51.8,10.29
luderitz,,,,,,,,
georgetown,,,,,,,,
port augusta,18,RU,1558328233,76,73.51,80.55,23.16,17.02
zhicheng,75,US,1558328233,72,39.62,-77.74,79,6.93
pine hill,75,BR,1558328233,88,-3.71,-38.6,79,4.7
hasaki,75,MU,1558328234,88,-20.41,57.7,78.01,12.75
neiafu,74,KE,1558328234,77,0.23,37.94,57.9,6.4
vila velha,48,RU,1558328235,45,63.64,54.86,41.16,12.19
kapaa,0,RU,1558328235,62,59.7,30.79,60.01,8.95
vaini,24,EC,1558328235,93,-0.74,-90.35,75,10.04
iqaluit,29,IN,1558328236,35,30.78,78.62,45.3,7.83
port hedland,0,AU,1558328236,60,-32.72,152.14,72,4.7
esperance,98,RU,1558328236,84,55.93,158.7,34.32,7.65
sinnamary,2,BS,1558328237,79,24.9,-76.2,78.24,11.65
saint george,80,UY,1558328156,88,-32.32,-58.08,62.01,4
butaritari,44,PY,1558328238,97,-26.98,-56.83,64.2,5.01
ambunti,12,NC,1558328238,66,-20.4,164.57,70.86,9.08
geraldton,45,AU,1558328238,60,-24.4,150.51,71.4,13.06
port elizabeth,75,GY,1558328142,94,6.8,-58.16,77,2.77
saint-philippe,,,,,,,,
mbanza-ngungu,49,RU,1558327950,56,60.37,93.04,52.14,6.4
moree,37,AU,1558328240,43,-23.58,149.07,77.16,12.62
cedral,12,RU,1558328241,88,71.97,114.09,15.06,4.18
borgarnes,,,,,,,,
luena,100,CA,1558328242,92,46.21,-70.48,48.99,3
honningsvag,91,RU,1558328242,92,50.68,156.12,39.54,20.94
tiarei,40,US,1558328242,83,30.3,-99.24,77,5.82
hermanus,75,IT,1558328242,82,40.83,14.85,61,5.82
san quintin,75,ES,1558328243,93,42.53,-1.67,44.6,6.73
sisimiut,,,,,,,,
taolanaro,,,,,,,,
albany,89,RU,1558328244,19,57.14,103.93,71.04,13
tateyama,44,PF,1558328245,78,-16.7,-151.02,82.56,12.39
dire,46,PF,1558328245,78,-16.48,-151.75,83.46,13.33
yellowknife,100,ID,1558328245,92,-0.91,122.88,70.14,3.56
puerto narino,1,US,1558328246,57,32.87,-97.01,75.99,5.82
puerto quijarro,81,PF,1558328246,82,-22.43,-151.33,77.52,11.9
reynosa,0,MX,1558328247,25,28.39,-105.62,71.04,19.53
barentsburg,40,CA,1558328247,40,65.28,-126.83,68,5.82
oranjemund,90,NO,1558328248,79,78.22,15.63,28.4,8.05
pangody,,,,,,,,
henstedt-ulzburg,85,RU,1558328248,76,61.68,96.39,44.58,9.17
east london,,,,,,,,
caravelas,75,US,1558328250,36,60.79,-161.76,62.6,8.05
boiro,,,,,,,,
honiara,40,BJ,1558328251,83,6.67,2.15,84.2,9.17
kodiak,20,SA,1558328252,72,18.22,42.5,60.8,7.25
peace river,100,CA,1558328039,92,46.12,-70.67,50,3
tabou,,,,,,,,
kontagora,34,RU,1558328253,28,63.92,127.47,44.58,14.23
rundu,0,AU,1558328253,34,-23.7,133.88,82.4,12.75
mar del plata,100,PG,1558328253,85,-2.02,147.27,80.76,1.72
haines junction,40,US,1558328254,87,36.62,-121.92,55.4,10.76
elverum,96,CA,1558328690,86,48.65,-53.11,36,18.99
chokurdakh,1,MX,1558328255,75,18.14,-94.15,82.02,3.31
namatanai,1,US,1558328255,88,30.04,-94.42,80.01,5.03
severo-kurilsk,0,ZA,1558328255,44,-29.06,30.59,55.92,3.4
tall kayf,,,,,,,,
constitucion,,,,,,,,
airai,,,,,,,,
coolum beach,63,RU,1558328257,34,52.25,79.17,62.22,8.75
bilibino,0,NA,1558328431,79,-26.65,15.16,58.08,3.09
kailua,51,EE,1558328258,76,57.91,26.05,66.99,4.7
hualmay,0,NZ,1558328123,82,-44.53,171.19,54,2.98
nyurba,90,US,1558328259,87,44.29,-105.5,37.99,5.82
bolshaya glushitsa,0,CL,1558328260,100,-41.87,-73.83,39.2,9.17
ancud,75,IT,1558328013,93,44.31,8.48,57,4.7
kaitangata,100,BR,1558328260,88,-2.6,-43.46,78.6,8.03
mporokoso,,,,,,,,
saldanha,41,UY,1558328261,84,-33.53,-58.22,56.64,11.9
mount gambier,100,UY,1558328261,87,-33.69,-53.46,62.04,11.1
flinders,17,ID,1558328262,60,-8.09,111.9,85.26,8.86
upernavik,90,CA,1558328262,93,49.78,-74.86,39.2,6.93
baykit,1,US,1558328133,51,20.89,-156.47,84.2,19.46
cherskiy,0,RU,1558328262,80,69.38,178.42,23.7,6.08
chuy,0,AU,1558328263,16,-20.74,116.85,90.48,3.83
qaanaaq,1,US,1558328263,93,35.77,-91.64,68,2.73
birao,88,GH,1558328263,87,4.87,-2.24,79.14,5.73
morro bay,0,AU,1558328697,19,-20.31,118.58,87.8,8.05
lerwick,73,RU,1558328264,87,59.24,163.07,39.18,8.48
tuktoyaktuk,100,IS,1558328023,95,64.25,-15.21,36.3,7.63
carnarvon,0,IN,1558327985,10,17.92,73.66,107.4,4.99
teya,5,MX,1558327993,69,22.89,-109.91,75.2,3.36
elizabeth city,20,PE,1558328265,88,-13.71,-76.2,64.99,3.36
portland,,,,,,,,
san jeronimo,0,AO,1558328266,78,-15.19,12.15,69.6,11.72
formoso do araguaia,20,US,1558328225,93,41.28,-70.1,62.01,17.22
longyearbyen,5,CA,1558328267,45,55.1,-105.3,48.2,4.7
shelburne,0,QA,1558328127,74,25.29,51.53,84.2,6.93
ostrovnoy,75,CA,1558327981,93,43.26,-79.87,61,16.11
faya,71,PE,1558328011,93,-10.07,-78.15,65.82,15.9
makat,90,CA,1558328269,93,45.36,-73.48,59,6.93
petropavlovsk-kamchatskiy,,,,,,,,
aksha,20,NG,1558328270,83,9.18,7.18,77,2.24
saint anthony,,,,,,,,
ginir,84,RU,1558328270,54,64.9,45.76,40.26,8.23
trogir,,,,,,,,
toftir,40,PE,1558328068,88,-12.06,-77.04,64.99,6.93
sawtell,80,CN,1558328272,6,40.29,97.04,70.68,10.56
saint-pierre,,,,,,,,
daryapur,33,CA,1558328272,43,60.75,-137.51,49.26,7.67
palmer,100,BR,1558327986,97,-3.84,-62.06,73.2,0.31
xingcheng,75,KR,1558328273,56,35.34,128.62,73.4,5.82
santa vitoria do palmar,0,SN,1558328203,82,14.69,-17.45,68,13.87
saskylakh,0,CY,1558328274,63,34.92,32.53,68,3.36
matagami,75,FO,1558328274,93,62.23,-6.59,48.2,8.05
starobaltachevo,88,RU,1558328275,60,59.33,66.02,46.74,9.51
morondava,75,MU,1558328275,88,-20.34,57.76,78.01,12.75
leshukonskoye,90,RU,1558328276,75,42.43,130.64,65.1,4.32
dzhusaly,,,,,,,,
bethel,40,AU,1558328276,70,-12.18,136.78,84.2,14.99
hithadhoo,26,RU,1558328277,16,50.6,97.53,66.72,7.14
khonuu,0,AR,1558327977,52,-45.87,-67.48,41,10.29
buchanan,20,US,1558328225,100,33.61,-85.83,73.4,2.71
shache,40,AM,1558328278,40,39.72,45.65,73.4,2.24
buin,95,NZ,1558328278,63,-46.28,169.85,53.01,8.01
yerbogachen,46,BO,1558328278,52,-17.97,-67.11,43.86,7
umzimvubu,75,NO,1558328279,76,71.03,27.85,41,17.22
orsta,21,PY,1558327994,89,-22.35,-60.04,69.6,3.83
longjiang,0,BW,1558328280,48,-21.42,25.59,61.86,9.15
myanaung,20,VN,1558328280,47,12.24,109.19,98.6,10.29
barawe,55,RU,1558328281,50,66,57.56,36.84,17.38
aasiaat,100,ID,1558328210,92,-0.95,122.79,70.14,3.56
batemans bay,44,RU,1558328281,83,71.64,128.87,19.92,14
amderma,1,PF,1558328282,78,-9.8,-139.03,82.38,15.82
chernyanka,,,,,,,,
nacala,100,GA,1558328282,86,-1.57,9.26,80.4,13.6
marsh harbour,,,,,,,,
sangar,90,US,1558328283,81,43.97,-111.68,44.6,8.05
son la,40,VU,1558328283,61,-19.55,169.27,80.6,11.41
sivas,1,NA,1558328284,44,-17.5,24.28,62.58,3.4
yekepa,90,ES,1558328284,100,43.48,-8.23,50,6.93
salalah,4,AU,1558328285,39,-31.97,141.45,78.8,17.22
lewiston,75,PT,1558328285,88,37.72,-25.43,62.6,11.41
mahebourg,40,AU,1558328003,72,-37.83,140.78,60.8,17.22
la palma,100,MV,1558328105,69,-0.6,73.08,84,2.86
brownwood,41,GL,1558328286,52,60.91,-46.05,42.8,2.98
araguari,100,NZ,1558328286,82,-46.13,167.69,53.01,13
kalianget,20,ES,1558328287,100,42.77,-9.06,53.01,6.15
khani,90,US,1558328003,100,34.64,-120.46,55.4,3.36
henties bay,86,BR,1558328288,97,-32.03,-52.1,62.94,2.42
tacana,0,NZ,1558328188,66,-43.53,172.64,55.4,11.41
vao,0,IN,1558328288,13,26.95,76.9,101.1,4.41
dingle,90,CA,1558328289,93,47.66,-52.73,37,25.28
turukhansk,,,,,,,,
pevek,63,CF,1558328289,43,10.3,22.78,88.86,10.27
metro,67,BJ,1558328290,60,11.13,2.93,83.82,9.62
mantua,1,US,1558328152,93,44.56,-123.26,55.99,3.8
anda,0,MX,1558328291,41,27.52,-110.01,75.9,6.35
faanui,55,DK,1558328291,93,55.06,15.13,53.6,1.12
jiddah,90,US,1558328291,93,37.46,-122.43,55.4,3.36
mocambique,0,NA,1558328292,25,-17.48,16.34,66.2,3.36
chapais,75,RU,1558328292,56,53.14,59.15,42.8,17.9
birobidzhan,100,CA,1558328292,97,47.44,-72.79,47.28,6.87
tostamaa,32,NO,1558328293,93,58.57,5.7,55,3.36
hobyo,0,RU,1558328293,37,58.52,125.52,45.66,10.18
vinh,87,AU,1558328294,83,-37.88,147.99,66.99,4.25
port antonio,100,RU,1558328294,99,45.05,136.61,49.8,3.62
paamiut,97,CF,1558328294,85,5.39,26.49,74.1,4.52
grand-santi,1,US,1558328142,73,36.85,-75.98,79,9.17
mys shmidta,52,CD,1558328295,66,3.64,18.59,76.98,3.2
batticaloa,100,RU,1558328295,35,58.6,99.18,67.98,12.35
galle,98,NG,1558328296,90,9.67,8.4,73.2,4.9
sao filipe,0,BR,1558328001,87,-17.73,-39.27,73.02,4.23
shira,,,,,,,,
ferrol,100,CD,1558328297,90,-3.52,23.6,73.56,1.9
crieff,0,ZA,1558328297,57,-28.77,32.06,72.66,15.75
cairns,98,BO,1558328298,76,-16.5,-68.19,35.6,5.82
emerald,0,NP,1558328298,14,29.28,82.18,71.4,4.88
sentyabrskiy,4,CA,1558328299,40,54.77,-101.88,44.4,0.56
half moon bay,7,RU,1558328299,90,70.62,147.9,13.62,4.23
leningradskiy,8,CU,1558328300,70,20.34,-77.12,81.3,3.09
erzin,98,DZ,1558328300,23,27.87,-0.29,87.8,13.87
korla,97,BR,1558328300,93,-6.22,-57.76,73.38,0.6
eyl,1,US,1558328263,93,36.29,-95.15,64,3.36
kitimat,95,NG,1558328301,94,5.43,7.07,75.54,3.89
deputatskiy,24,MM,1558328115,65,16.78,94.73,91.92,10.11
senneterre,75,US,1558328302,61,39,-77.4,80.6,10.29
mackay,100,SL,1558328302,79,7.53,-12.5,80.76,3.87
lodja,40,MX,1558328302,83,21.23,-86.73,82.4,8.05
souillac,100,AR,1558328133,54,-40.81,-62.99,53.22,9.35
torbay,8,CN,1558328303,31,41.4,119.64,63.3,25.01
andradina,75,AU,1558328304,68,-34.85,139.16,66.99,16.11
lisala,20,MG,1558328304,93,-18.4,47.88,60.8,1.12
butterworth,90,CL,1558328305,93,-29.95,-71.34,53.6,3.36
isangel,75,AU,1558328305,73,-28.95,153.24,69.8,5.82
clyde river,100,RU,1558328306,96,50.72,136.64,49.98,5.37
bathsheba,100,RU,1558328306,32,45.39,47.37,76.26,7.61
awjilah,,,,,,,,
mabaruma,90,US,1558328249,87,45.52,-122.67,57.2,3.36
carutapera,75,MU,1558328102,88,-20.21,57.76,78.01,12.75
gerash,47,CA,1558328307,90,43.74,-81.71,60.01,17
touros,,,,,,,,
broken hill,3,PK,1558328308,34,25.37,69.74,99.48,13.15
labrea,,,,,,,,
kahului,73,PE,1558328309,65,-13.65,-73.37,40.44,6.35
ahuimanu,0,MZ,1558328101,75,-12.97,40.52,77.88,11.86
ust-barguzin,1,CA,1558328310,52,50.04,-110.68,48,8.05
melilla,90,DE,1558328310,100,52.12,9.98,59,3.36
ukiah,1,RU,1558328310,69,68.05,39.51,38.1,5.57
sibolga,75,MU,1558328311,88,-19.98,57.61,78.01,12.75
talnakh,88,HT,1558328311,81,18.19,-73.75,80.4,14.41
wajid,80,RU,1558328311,31,52.57,78.94,62.04,10.16
meyungs,100,RU,1558328312,91,66.56,67.8,27.3,23.42
wanaka,91,ZA,1558328312,40,-30.97,22.13,53.76,10.11
carroll,0,MR,1558328313,88,20.93,-17.03,64.4,13.87
san rafael,67,VN,1558328313,33,17.48,106.6,103.08,6.98
jiaohe,99,NZ,1558328314,70,-35.94,173.86,61.68,16.46
zastron,40,CM,1558328314,94,3.63,9.81,77,2.24
kudahuvadhoo,0,BR,1558328315,97,-20.63,-46,56.64,1.74
tadine,0,AR,1558328315,58,-46.43,-67.52,37.74,9.8
fortuna,,,,,,,,
shelbyville,90,CA,1558328316,100,70.47,-68.59,23,8.05
sioux lookout,0,MX,1558328317,88,27.97,-114.04,62.76,9.93
madimba,,,,,,,,
kjopsvik,100,RU,1558328317,62,67.46,153.71,25.86,14.7
alenquer,,,,,,,,
yarmouth,100,BR,1558328318,97,-11.64,-42.01,62.04,5.41
laem sing,29,RU,1558328318,43,64.57,143.24,31.98,3.78
eisenstadt,0,NO,1558328319,70,69.65,18.96,51.01,6.93
tahta,40,MX,1558328319,88,16.38,-93.6,69.8,3.36
masumbwe,90,UY,1558328320,87,-34.91,-54.96,51.8,4.7
grand river south east,89,PG,1558328320,87,-10.62,150.67,78.42,5.03
vawkavysk,1,US,1558328321,57,39.95,-94.76,53.6,6.93
najran,68,RU,1558328321,49,59.06,80.87,52.86,15.48
yulara,,,,,,,,
sainte-anne,10,IN,1558328322,28,21.09,71.76,100.2,2.33
pec,95,US,1558328322,80,37.17,-99.65,55.99,3
nikolskoye,46,PF,1558328211,78,-16.52,-151.75,83.46,13.33
borsbeek,1,RU,1558328323,78,69.3,139.9,15.96,4.03
massakory,75,CL,1558328323,100,-38.71,-73.16,42.8,12.35
nantai,100,RU,1558328323,46,45.2,43.58,70.86,7.18
tigil,75,JP,1558328324,88,26.12,127.67,78.8,8.05
kayes,81,RU,1558328324,66,66.77,123.37,28.02,1.57
bako,75,VU,1558328325,78,-15.51,167.18,80.6,11.41
nishihara,90,US,1558328290,93,37.61,-122.49,55.4,3.36
presidencia roque saenz pena,51,RU,1558328326,87,71.98,102.47,22.26,15.84
bud,,,,,,,,
uvat,75,US,1558328326,87,36.57,-119.61,57.2,5.82
minab,48,SO,1558328326,57,9.49,50.81,86.7,10.8
swan hill,100,LR,1558328327,80,5.88,-10.05,82.02,10.22
ribeira grande,35,BO,1558328327,34,-19.59,-65.75,38.64,4.72
khuzhir,75,JP,1558328328,83,33.93,134.5,73,25.28
los llanos de aridane,75,PT,1558328328,82,33.08,-16.33,64.4,14.99
puerto madryn,20,SA,1558328329,72,18.39,42.45,60.8,1.45
castro,87,YE,1558328329,45,12.79,45.03,92.82,13.56
bahir dar,75,PT,1558328330,88,37.73,-25.67,62.6,11.41
kabansk,,,,,,,,
derzhavinsk,40,GB,1558328330,93,55.78,-2.34,50,6.93
tigzirt,92,NG,1558328331,67,10.31,9.75,80.58,6.53
nuevo progreso,100,PE,1558328331,84,-4.58,-81.27,71.58,20.8
hami,56,PH,1558328332,65,11.9,125.42,86.88,3.56
nanortalik,,,,,,,,
anadyr,75,CA,1558328332,24,63.59,-135.9,68,8.05
vaitupu,100,GW,1558328333,65,11.28,-15.83,79.5,12.68
port macquarie,20,LK,1558328333,55,7.42,81.82,91.56,5.41
tirumullaivasal,0,RU,1558328333,47,55.75,38,57.2,2.24
banyo,71,PG,1558328334,65,-2.57,150.8,85.98,3.53
egvekinot,0,PT,1558328334,87,39.36,-9.38,54,4.7
hambantota,,,,,,,,
gamba,40,BR,1558328212,94,-5.2,-35.46,77,4.7
yarensk,0,EG,1558328335,53,27.27,31.15,71.6,5.82
attawapiskat,21,TR,1558328336,61,41.25,31.83,66.9,10.38
kavieng,91,RU,1558328336,82,66.66,66.39,30.18,15.46
altay,83,JM,1558328336,77,17.89,-77.59,79.32,4.05
northfield,100,ML,1558328337,28,18.9,-3.53,86.52,9.44
tarusa,0,AR,1558328291,63,-43.25,-65.31,44.04,3.56
eureka,90,US,1558328064,93,45.06,-83.43,52,9.01
marzuq,100,CF,1558328338,93,5.02,25.13,71.94,3.89
katherine,0,MZ,1558328338,77,-13.13,39,72.48,6.17
kieta,83,PT,1558328339,81,41.42,-6.55,45.48,3.4
murgab,0,KZ,1558328340,25,48.68,71.64,70.68,21.99
havre-saint-pierre,,,,,,,,
comodoro rivadavia,20,MX,1558328340,83,20.71,-105.21,77,5.82
el sauzal,20,FR,1558328341,93,44.83,-0.61,55.4,5.82
malindi,100,IN,1558328178,71,11.67,92.75,84.9,8.7
kloulklubed,66,LA,1558328341,42,18.24,104.21,98.22,4.94
gorin,90,IS,1558328342,100,63.84,-22.43,48,4.7
tezu,40,GE,1558328342,93,41.96,42.96,64.4,4.7
saint pete beach,0,BR,1558328343,96,-21.64,-41.05,65.28,4.76
rio grande,0,MX,1558328344,54,26.88,-111.98,75,5.68
den helder,1,US,1558328209,93,43.59,-83.89,61,9.17
ayan,20,GR,1558328345,43,36.09,28.02,71.6,2.24
tsogni,75,RU,1558328345,71,67.47,86.57,46.2,11.72
sao joao da barra,2,GL,1558328346,82,65.42,-52.9,36.48,3.24
tidore,75,BR,1558328346,94,2.82,-60.67,75.2,5.82
macia,75,JP,1558328347,73,33.72,135.99,71.6,17.22
sechura,100,RU,1558328347,45,53.13,132.9,59.52,15.28
menongue,40,CU,1558328348,88,22.52,-79.47,71.6,3.36
mettur,75,BN,1558328349,74,5.28,115.24,89.01,1.12
bintulu,,,,,,,,
chipinge,0,BR,1558328350,87,-22.97,-42.02,71.04,5.97
corn island,75,NO,1558328350,78,71,24.66,44.6,11.41
vestmannaeyjar,75,MY,1558328243,83,5.33,103.14,84.2,3.36
saint-denis,58,GH,1558328351,92,4.89,-1.75,76.62,3.06
tunduru,,,,,,,,
college station,,,,,,,,
mount isa,75,US,1558328352,61,19.71,-155.08,80.6,5.82
augusto correa,8,VN,1558328352,25,15.12,108.8,105.42,4.68
oriximina,88,GF,1558328352,84,5.38,-52.96,80.4,10.54
banjar,0,CN,1558328353,14,43.65,111.97,60.42,19.91
hofn,46,BR,1558328353,86,-9.87,-56.08,70.86,2.8
myaundzha,20,GR,1558328353,63,39.45,22.34,62.6,4.7
churapcha,0,TR,1558328354,66,38.39,35.49,55.4,10.98
felanitx,47,NZ,1558328348,93,-45.41,167.72,40.98,4.07
quelimane,,,,,,,,
izumo,58,CA,1558328355,60,49.91,-109.46,41.88,5.82
tyrma,0,IN,1558328355,23,22.83,87.35,105.78,6.08
bulawayo,20,IE,1558328356,80,53.8,-9.52,48.99,4
palaia fokaia,0,SY,1558328356,46,35.59,37,72.84,6.58
nong kung si,10,ID,1558328357,78,-8.84,121.65,82.38,10.96
srednekolymsk,76,GB,1558328357,87,60.4,-1.35,50,2.24
palabuhanratu,100,NG,1558328358,90,7.38,8.57,77.16,6.71
dhidhdhoo,75,CA,1558328358,80,51.26,-80.61,33.8,8.05
safaqis,59,ID,1558328358,68,-0.86,131.25,87.78,3.74
pavilosta,96,LY,1558328359,20,29.14,21.3,85.98,5.59
mayna,75,IT,1558328208,87,41.89,12.48,55.99,4.7
athens,90,CA,1558328360,83,63.75,-68.52,32,5.82
tulare,90,US,1558328191,92,39.55,-107.33,50,6.93
miram shah,58,TC,1558328360,84,21.46,-71.14,80.22,17.49
carndonagh,75,AU,1558328361,60,-27.18,151.26,73.99,11.41
rocha,90,DE,1558328361,100,53.43,11.85,57,6.93
jiuquan,90,US,1558328362,93,44.06,-121.32,46.4,3.36
san policarpo,86,LY,1558328362,9,29.03,21.55,89.76,12.03
asau,40,IN,1558328362,30,30.69,78.49,93.2,4.7
olafsvik,47,NZ,1558328363,70,-39.19,173.88,59,5.99
puerto rondon,0,CN,1558328363,11,28.28,88.52,46.56,13.35
agadez,80,RU,1558328364,91,67.55,63.78,22.44,15.64
martil,0,MR,1558328364,45,20.52,-13.05,75.54,7.07
smidovich,83,MX,1558328365,57,18.62,-100.35,80.94,3.49
khandyga,100,CN,1558328366,12,32.45,114.03,79.86,3.13
phangnga,5,MX,1558328077,38,24.15,-110.32,73.4,13.87
akureyri,,,,,,,,
dunmore town,0,NA,1558328367,25,-17.91,15.98,66.2,3.36
umm kaddadah,100,RU,1558328367,78,60.47,166.1,38.64,14.54
laguna,17,PL,1558328368,91,53.18,22.06,63.84,12.57
stamsund,75,CA,1558328283,53,68.22,-135.01,50,6.93
wahran,100,ML,1558328368,57,22.68,-3.98,77.16,23.06
palkino,44,ID,1558328369,77,-8.49,140.4,83.82,18.9
boralday,0,NO,1558328369,56,70.05,24.96,44.6,23.04
aswan,0,RU,1558328370,36,53.05,158.65,60.8,22.37
tomari,,,,,,,,
onguday,48,DK,1558328371,100,56.62,8.18,55,1.12
nizhneyansk,100,RU,1558328371,90,46.45,135.83,55.92,6.08
jieshi,18,CD,1558328372,87,-12.89,28.78,62.94,5.73
pelotas,59,AU,1558328372,48,-20.07,146.27,77.7,10.54
sabha,2,VN,1558328373,47,10.93,108.1,96.24,9.89
mahibadhoo,75,NO,1558328373,80,70.86,29.09,39.2,17.22
kimbe,73,RU,1558328373,58,63.37,47.92,40.44,8.84
iracoubo,30,CA,1558328374,73,49.49,-117.29,36.84,4.27
acarau,56,AO,1558328375,86,-11.2,13.84,77.16,5.35
samarai,20,PT,1558328375,93,38.73,-27.07,63,13.22
grand baie,100,ID,1558328376,46,3.5,98.69,89.01,4.47
hampton,75,US,1558328267,45,64.86,-147.8,66.2,5.82
